character,universe
Moira MacTaggart,marvel
Geiger (comics),marvel
Harrier (comics),marvel
Erik Josten,marvel
Erg (comics),marvel
Ereshkigal (Marvel Comics),marvel
Princess Python,marvel
Zarrko,marvel
Paladin (comics),marvel
Graymalkin,marvel
Rev (comics),marvel
Missing Link (comics),marvel
Phat (comics),marvel
Steven Lang (comics),marvel
Jubilee (comics),marvel
Drax the Destroyer,marvel
Gorilla Girl,marvel
Father Time (Marvel Comics),marvel
Abraham Cornelius,marvel
Talos the Untamed,marvel
Yon-Rogg,marvel
Wyatt Wingfoot,marvel
Anna Watson (comics),marvel
Phantom Reporter,marvel
Morning Star (comics),marvel
Bug (comics),marvel
Eel (comics),marvel
Possessor (comics),marvel
Man-Elephant,marvel
Karla Sofen,marvel
Chamber (comics),marvel
Lynn Michaels,marvel
Guardian (Marvel Comics),marvel
Hepzibah (comics),marvel
Gladiatrix (comics),marvel
Peepers (Marvel Comics),marvel
Exodus (comics),marvel
Gambit (Marvel Comics),marvel
Ch'od,marvel
Ox (comics),marvel
Thunderbird (John Proudstar),marvel
Glorian,marvel
Daredevil (Marvel Comics character),marvel
Thing (comics),marvel
Howard Stark,marvel
Citizen V,marvel
Blue Eagle (comics),marvel
Carnage (character),marvel
Jonas Harrow,marvel
Baron Mordo,marvel
Shatterstar,marvel
Sally Floyd (comics),marvel
Blake Tower,marvel
Ward Meachum,marvel
Awesome Android,marvel
Stick (comics),marvel
Tabitha Smith,marvel
Perun (comics),marvel
Loki (Marvel Comics)|Loki (Marvel Cinematic Universe),marvel
Blood Brothers (comics),marvel
Titannus,marvel
Tag (comics),marvel
Fandral,marvel
Desak,marvel
Red Shift (comics),marvel
Rusty Collins,marvel
Psyklop,marvel
Bastion (comics),marvel
Hulkling,marvel
David North (comics),marvel
Revanche (Marvel Comics),marvel
Atalanta (Pantheon),marvel
Modred the Mystic,marvel
Hannibal King,marvel
Baron Zemo,marvel
Sons of the Tiger,marvel
Darkdevil,marvel
Helmut Zemo,marvel
Ms. Marvel,marvel
Saturnyne,marvel
Ink (comics),marvel
"N'Kantu, the Living Mummy",marvel
Damage Control (comics)#Employees,marvel
Fatale (Marvel Comics),marvel
Magma (Jonathan Darque),marvel
Hitman (Marvel Comics),marvel
Kid Kaiju,marvel
Morgan Stark,marvel
Edwin Jarvis,marvel
Kavita Rao,marvel
Leo (comics),marvel
Forbush Man,marvel
